,url_num_hyphens_dom,url_hostname_len,url_num_dots,url_num_underscores,url_ip_present,url_entropy,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('object'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a')
3242,0.0,21.0,2.0,0.0,0.0,4.25419565,0.0,1.0,0.0,1.0,1.0,1.0,1.0
1006,0.0,16.0,4.0,4.0,0.0,4.886295693,1.0,47.0,0.0,1.0,1.0,3.0,573.0
2327,2.0,36.0,2.0,0.0,0.0,4.481714573,8.0,12.0,0.0,1.0,1.0,1.0,38.0
2047,0.0,17.0,4.0,0.0,0.0,3.99719987,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2702,0.0,18.0,2.0,0.0,0.0,4.11639562,1.0,9.0,0.0,1.0,1.0,0.0,11.0
2959,0.0,28.0,1.0,0.0,0.0,4.667660775,0.0,1.0,0.0,1.0,1.0,1.0,1.0
172,2.0,27.0,3.0,0.0,0.0,4.78129636,0.0,0.0,0.0,1.0,1.0,0.0,2.0
1032,0.0,13.0,3.0,1.0,0.0,4.5886459,0.0,0.0,0.0,1.0,1.0,0.0,3.0
470,0.0,24.0,3.0,0.0,0.0,4.556046729,0.0,9.0,0.0,1.0,1.0,0.0,23.0
3566,0.0,12.0,4.0,0.0,0.0,4.734221823,0.0,13.0,0.0,1.0,1.0,2.0,47.0
3368,0.0,17.0,1.0,4.0,0.0,5.100899987,0.0,2.0,0.0,1.0,1.0,1.0,3.0
3176,0.0,14.0,2.0,1.0,0.0,4.789210943,0.0,1.0,0.0,1.0,2.0,1.0,0.0
3357,0.0,13.0,3.0,0.0,1.0,3.46857663,0.0,0.0,0.0,1.0,1.0,0.0,2.0
2521,0.0,18.0,1.0,0.0,0.0,4.937733768,1.0,47.0,0.0,1.0,1.0,7.0,151.0
204,0.0,21.0,1.0,0.0,0.0,4.083023151,0.0,1.0,0.0,1.0,2.0,1.0,3.0
774,0.0,17.0,1.0,0.0,0.0,4.157214971,0.0,9.0,0.0,1.0,1.0,1.0,4.0
3307,1.0,22.0,2.0,0.0,0.0,4.031401845,0.0,8.0,0.0,1.0,1.0,3.0,200.0
2704,0.0,20.0,1.0,0.0,0.0,3.910232941,0.0,2.0,0.0,1.0,1.0,1.0,16.0
1996,0.0,21.0,3.0,1.0,0.0,4.578611442,0.0,0.0,0.0,1.0,1.0,0.0,3.0
17,0.0,20.0,1.0,0.0,0.0,4.166293108,0.0,18.0,0.0,1.0,1.0,9.0,163.0
816,0.0,16.0,4.0,0.0,0.0,4.510744286,0.0,7.0,0.0,1.0,1.0,1.0,0.0
2374,1.0,34.0,3.0,0.0,0.0,4.905020903,0.0,1.0,0.0,1.0,1.0,1.0,26.0
945,0.0,13.0,2.0,2.0,0.0,4.878666403,0.0,24.0,0.0,1.0,1.0,1.0,514.0
1409,0.0,17.0,3.0,0.0,0.0,4.466405641,0.0,17.0,0.0,1.0,1.0,2.0,29.0
602,2.0,19.0,3.0,2.0,0.0,4.680348269,0.0,2.0,0.0,1.0,1.0,0.0,5.0
936,0.0,23.0,8.0,1.0,0.0,4.92050232,0.0,3.0,0.0,1.0,1.0,1.0,2.0
2310,1.0,25.0,1.0,0.0,0.0,4.127283134,0.0,2.0,0.0,1.0,1.0,1.0,18.0
2296,1.0,32.0,3.0,0.0,0.0,4.127567157,0.0,0.0,0.0,1.0,1.0,1.0,38.0
44,1.0,25.0,3.0,0.0,0.0,4.222208068,0.0,2.0,0.0,1.0,1.0,1.0,16.0
304,0.0,14.0,2.0,0.0,0.0,4.784625451,0.0,1.0,0.0,1.0,2.0,1.0,0.0
730,4.0,47.0,2.0,2.0,0.0,4.755912155,0.0,4.0,0.0,2.0,1.0,1.0,1.0
1374,0.0,14.0,4.0,0.0,0.0,4.58546085,0.0,0.0,0.0,1.0,1.0,0.0,3.0
457,0.0,20.0,2.0,0.0,0.0,3.743982154,0.0,7.0,0.0,1.0,1.0,1.0,2.0
2877,2.0,29.0,3.0,0.0,0.0,4.311958469,0.0,2.0,0.0,1.0,1.0,1.0,18.0
791,1.0,12.0,3.0,0.0,0.0,4.349791896,0.0,7.0,0.0,1.0,1.0,0.0,85.0
2432,0.0,21.0,3.0,0.0,0.0,3.952302978,0.0,0.0,0.0,1.0,1.0,0.0,0.0
982,0.0,16.0,2.0,0.0,0.0,3.795088586,0.0,4.0,0.0,1.0,1.0,1.0,564.0
427,0.0,15.0,3.0,0.0,0.0,4.495366664,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1242,1.0,34.0,3.0,0.0,0.0,4.74556986,0.0,1.0,0.0,1.0,1.0,1.0,26.0
2541,0.0,32.0,5.0,0.0,0.0,4.6790067,0.0,8.0,0.0,1.0,1.0,1.0,4.0
1447,0.0,18.0,2.0,1.0,0.0,4.69040924,1.0,27.0,0.0,1.0,1.0,3.0,585.0
549,0.0,12.0,3.0,0.0,0.0,3.929214455,0.0,7.0,0.0,1.0,1.0,1.0,269.0
1317,0.0,15.0,3.0,0.0,1.0,3.351953074,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1674,0.0,16.0,4.0,4.0,0.0,4.886295693,1.0,47.0,0.0,1.0,1.0,3.0,573.0
3000,0.0,24.0,2.0,0.0,0.0,4.116729297,0.0,2.0,0.0,1.0,1.0,2.0,1.0
218,0.0,17.0,6.0,0.0,0.0,4.644810495,0.0,18.0,0.0,1.0,1.0,0.0,21.0
3352,0.0,24.0,3.0,0.0,0.0,4.403989446,0.0,24.0,0.0,1.0,1.0,4.0,101.0
1170,0.0,16.0,1.0,0.0,0.0,3.855388542,0.0,16.0,0.0,1.0,1.0,2.0,2.0
1509,0.0,15.0,2.0,0.0,0.0,3.970573096,2.0,17.0,0.0,1.0,1.0,0.0,75.0
2425,0.0,12.0,5.0,0.0,0.0,4.149566878,2.0,14.0,0.0,1.0,1.0,3.0,34.0
3112,0.0,19.0,2.0,0.0,0.0,4.178468413,0.0,20.0,1.0,1.0,1.0,0.0,145.0
576,1.0,25.0,4.0,0.0,0.0,5.567501007,0.0,1.0,0.0,1.0,1.0,1.0,6.0
438,0.0,33.0,2.0,0.0,0.0,3.999583854,0.0,3.0,0.0,1.0,1.0,1.0,0.0
993,0.0,24.0,2.0,0.0,0.0,4.281403424,1.0,8.0,1.0,1.0,1.0,1.0,74.0
3264,0.0,15.0,3.0,0.0,0.0,3.762267391,0.0,6.0,0.0,1.0,1.0,3.0,105.0
1789,2.0,22.0,1.0,0.0,0.0,4.195816472,0.0,2.0,0.0,1.0,1.0,2.0,39.0
2042,0.0,11.0,2.0,0.0,0.0,3.824862958,0.0,14.0,0.0,1.0,1.0,0.0,154.0
3146,0.0,16.0,3.0,0.0,0.0,3.844106545,0.0,25.0,0.0,1.0,1.0,1.0,14.0
2152,0.0,11.0,1.0,0.0,0.0,4.239950563,0.0,9.0,0.0,1.0,1.0,4.0,201.0
445,1.0,25.0,3.0,0.0,0.0,4.21411372,3.0,36.0,0.0,1.0,1.0,4.0,213.0
2761,0.0,14.0,2.0,0.0,0.0,4.787445939,0.0,1.0,0.0,1.0,2.0,1.0,0.0
2481,0.0,17.0,3.0,0.0,0.0,4.439337978,0.0,17.0,0.0,1.0,1.0,2.0,29.0
2159,0.0,15.0,2.0,1.0,0.0,4.296439345,0.0,19.0,0.0,1.0,1.0,0.0,103.0
627,0.0,15.0,2.0,0.0,0.0,4.060574475,0.0,7.0,0.0,1.0,1.0,1.0,8.0
347,0.0,16.0,3.0,0.0,0.0,4.37197815,0.0,1.0,0.0,1.0,2.0,1.0,1.0
341,0.0,17.0,2.0,1.0,0.0,4.207976707,0.0,16.0,0.0,1.0,1.0,0.0,0.0
2278,0.0,15.0,4.0,0.0,1.0,4.000432303,0.0,1.0,0.0,1.0,1.0,1.0,3.0
1337,0.0,17.0,2.0,0.0,0.0,4.001629167,0.0,8.0,0.0,1.0,1.0,0.0,77.0
777,0.0,15.0,3.0,0.0,1.0,4.383960128,0.0,7.0,0.0,1.0,1.0,1.0,7.0
2033,0.0,12.0,2.0,0.0,0.0,3.471354487,1.0,8.0,0.0,1.0,1.0,1.0,62.0
1195,0.0,16.0,5.0,0.0,0.0,4.570773007,1.0,7.0,0.0,1.0,2.0,3.0,49.0
3108,0.0,13.0,1.0,1.0,0.0,4.251476307,0.0,5.0,0.0,1.0,1.0,1.0,0.0
499,0.0,11.0,8.0,3.0,0.0,3.69522348,0.0,1.0,0.0,1.0,1.0,0.0,0.0
256,0.0,17.0,1.0,0.0,0.0,4.347691161,0.0,9.0,0.0,1.0,1.0,1.0,4.0
303,1.0,14.0,32.0,0.0,0.0,4.586521145,0.0,0.0,0.0,1.0,1.0,0.0,1.0
926,0.0,15.0,4.0,0.0,0.0,3.943289445,0.0,2.0,0.0,1.0,1.0,1.0,3.0
1556,0.0,29.0,3.0,0.0,0.0,4.261837445,0.0,2.0,0.0,1.0,1.0,1.0,3.0
931,0.0,21.0,1.0,0.0,0.0,4.026619294,0.0,24.0,0.0,1.0,1.0,5.0,219.0
675,0.0,21.0,2.0,0.0,0.0,3.728502116,0.0,0.0,0.0,1.0,1.0,1.0,4.0
1680,0.0,11.0,2.0,0.0,0.0,4.388790447,0.0,6.0,0.0,1.0,2.0,1.0,0.0
260,2.0,22.0,2.0,0.0,0.0,4.155498041,3.0,36.0,0.0,1.0,1.0,4.0,213.0
927,1.0,21.0,2.0,0.0,0.0,3.913799565,0.0,4.0,0.0,1.0,1.0,0.0,53.0
584,0.0,13.0,2.0,0.0,0.0,4.404803219,0.0,4.0,0.0,1.0,1.0,1.0,1.0
1545,0.0,16.0,2.0,0.0,0.0,3.882045108,0.0,4.0,0.0,1.0,1.0,0.0,436.0
792,0.0,38.0,3.0,0.0,0.0,4.034355576,0.0,2.0,0.0,1.0,1.0,0.0,0.0
